,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
5541,Dipankar+Roy,@DipankarRoyDipu,Dipankar Roy,"Engineer, IT Professional, Data science, Machine learning, Neural Network, Big Data, Web Development, Telecommunication, Network Engineering","Dhaka,Bangladesh",4,12,0.03217626947325905
5542,Dipanker+Singh+Mankotia,@Dipanker_Singh,Neurosurgeon Dipanker Singh Mankotia,"Consultant Neurosurgeon & Associate Professor Of Neurosurgery 
M.B.B.S,https://t.co/R1xfP2QJTn Neurosurgery (AIIMS New Delhi)","New Delhi, India",96,161,1.0292898198755562
5543,Dipayan+Chaudhuri,@ChaudhuriLab,Dipayan Chaudhuri,"Assistant Professor and Cardiologist, @UUtah @UofUHealth. Studying #mitochondria, #ionchannels, and #heartfailure","Salt Lake City, UT",243,422,0.9848395243511505
5544,Dipayan+Mitra,@Incrdibldipayan,♥♫ Dipayan Mitra ♫♥,A guitarist by profession............ Just a crazzzzy fan of Sheena Bajaj... @bajajsheena,Jaipur ,50,131,0.31151123017093485
5545,Dipen+Rajgor,@DRajgor1,Dipen Rajgor,Microscope man / Cell and Molecular Biologist / Neuroscientist,"Oxford, England",70,159,0.3119258651704525
5546,Dipesh+Dhakal,@medipesh,Dipesh Dhakal,"Postdoctoral Associate, University of Florida","Gainesville, FL",61,240,0.28108347109258786
5547,Dipesh+Mistry,@dipeshmistry87,Dipesh Mistry,Assoc CIPD. Innovative and revolutionary L&D professional challenging learning technologies and inspiring the human brain. Thoughts are my own.,,237,395,1.1500947872823795
5548,Dipti+Agarwal,@diptiag,Dipti Agarwal,Marketing professional,India,84,92,0.4872723692340732
5549,Dirk+E.+Martens,@DEMARTE63,Dirk Martens,"Assistant Professor, Bioprocess Engineering, Wageningen University",,19,14,0.08373639491363369
5550,Dirk+Jan+F+Moojen,@DJMoojen,Dirk Jan Moojen,#Orthopaedicsurgeon #MD #PhD #Countrydelegate #EBJIS #Hip #Knee #Arthroplasty #Infection @olvg,Amsterdam,255,119,1.349125292045686
5551,Dirk+W.+Lachenmeier,@Lachenmeier,Dirk Lachenmeier,"State-certified food chemist, toxicologist, head of the department of plant-based foods and co-head of the nuclear magnetic resonance laboratory at CVUAKA.","Karlsruhe, Allemagne",124,129,0.47912649256770035
5552,Dirk+W+Lachenmeier,@Lachenmeier,Dirk Lachenmeier,"State-certified food chemist, toxicologist, head of the department of plant-based foods and co-head of the nuclear magnetic resonance laboratory at CVUAKA.","Karlsruhe, Allemagne",124,129,0.45170217156045284
5553,Dirk+Eggink,@dirkeggink,Dirk Eggink,Im a virologist investigating evolution and pathogenesis of avian influenza viruses en Sars-Cov-2,The Netherlands,402,454,2.1768254846316766
5554,Dirk+Fey,@fey_dirk,Dirk Fey,"Systems biologist, cancer researcher, control engineer, Systems Biology Ireland @sysbioire @UCDMedicine @UCDDublin",,354,228,1.2684169052066938
5555,Dirk+Fischer,@DirkFischer,Dirk Fischer,"Independent Recording Producer, Label Director and Coffee Lover.","Berlin, Allemagne",23,0,0.08164593776521963
5556,Dirk+Helbing,@dirkhelbing_,"Dirk ""The Jerk"" Helbing","Parody account for Dirk Helbing a #Jerk, #Clown, #WhatAnIdiot #ConspiracyTheorist, #CronyLover & #UnEthical, Incompetent Professor at https://t.co/dWjZr6SUOO ETH Zuriche.",EARTH,1,22,0.005433754325251155
5557,Dirk+Hermans,@HirkDermans,Dirk Hermans,"Professor of psychology @ KU Leuven - clinical psychologist/therapist. With some passion for drumming, long-distance running, literature, horseback riding ...",,640,111,2.6583404797815335
5558,Dirk+Hoffmeister,@DHoffmeister81,Dirk Hoffmeister,"GIS-, Remote Sensing-, Geomorphologic Scientist",,7,19,0.03205695406434697
5559,Dirk+Maier,@qualitygrainISU,Dirk E Maier,"Professor of Grain and Feed Operations and Processing; Director, Consortium for Innovation in Post-Harvest Loss and Food Waste Reduction",Iowa State University ,372,91,2.893185248015348
5560,Dirk+Meyer,@DMeyerOx,Dirk Meyer 麥笛,"Associate Professor of Chinese Philosophy at The Queen's College, University of Oxford. Director of the  Centre for Manuscript and Text Cultures (CMTC) @OxWMTC","Oxford, England",553,230,1.900595958847316
5561,Dirk+Richter,@Dirk_Richter_,Dirk Richter,Professor @unipotsdam | Educational Research @ebf_up,Potsdam,32,27,0.19337842671884778
5562,Dirk+Schneider,@dirk_schneider,Dirk Schneider,"Senior Vice President Global Professional Services, International Practices",Germany,21,2,0.0965662251818486
5563,Dirk+Sibbing,@DirkSibbing,Dirk Sibbing,Husband | Dad of 5 | Passionate Runner | Cardiologist from Munich | Lauterbacher Mühle | Angiologist | Past-Chair ESC WG Thrombosis | LMU München,"Bavaria, Germany",184,230,0.7927363529839813
5564,Dirk+Stengel,@stengel_dirk,Dirk Stengel,Clinical Researcher- by heart!,"Berlin, Allemagne",6,4,0.02358656987155982
5565,Dirk+Tischler,@dirktischler,Dirk Tischler,"a working microbiologist ... interested in oxidoreductases, flavoproteins, biocatalysis and degradation of xenobiotics","Bochum, Allemagne",668,1457,2.907681697336923
5566,Dirk+Westermann,@dirkwestermann,Dirk Westermann,"Professor of Cardiology, Interventional Cardiologist, #bacc all tweets are my personal opinion and no medical advice.",Deutschland,859,273,2.7678246780386333
5567,Dirk+Ysebaert,@dirk_ysebaert,Dirk Ysebaert,Professor of surgery University Hospital of Antwerp & Antwerp University / Secretary- General Royal Belgian Society of Surgery,,9,22,0.03583938969781431
5568,Disha+Gupta,@dishag9,Disha Gupta,"PhD candidate at Delhi School of Economics, India | Agricultural Economics and Applied Microeconometrics | Focus on #groundwater issues in #India",,181,333,1.2943448625481486
5569,Ditte+Caroline+Andersen,@DenDitte,Ditte Andersen,"Sociologist at @VIVEviden; social inequality, care and narratives /PI in @DFF_raad project on the micro-sociology of cross-sectoral caring arrangements",Copenhagen,363,209,2.096806620316185
5570,Ditte+Demontis,@DemontisDitte,Ditte Demontis,"Associate Professor, Biomedicine, Aarhus University. Working in psychiatric genetics | ADHD | disruptive behaviour disorders | substance use disorders","Arhus, Danemark",173,151,0.750436699352888
5571,Divakar+Sharma,@divakarsharma88,Dr. Divakar Sharma,Research on Microbial Proteomics special reference with Mycobacterium tuberculosis.,"Agra, India",23,52,0.08202492108891829
5572,Divay+Chandra,@divayc,Divay Chandra,"COPD investigator. Passionate about medical writing and work life balance
Assistant Prof, Pulmonary, Allergy, and Critical Care Medicine, Univ. of Pittsburgh","Pittsburgh, PA",158,152,0.9791825005863991
5573,Divjot+Singh+Lamba,@DivjotSingh89,Divjot Singh,Finance professional | Married to my favorite economist,,51,460,0.4515986979872489
5574,Divya+Tej+Sowpati,@TejSowpati,Divya Tej Sowpati,"Learner. 
Biologist excited by Genomics, Algorithms, and DataViz. Currently leading #COVID19 genomics @ccmb_csir. Views my own. He/him.","Hyderabad, India",1518,439,11.6828320437925
5575,Dominik+Kusy,@Dominik_Kusy,Dominik Kusy,"PhD student at @UPOlomouc @CatrinUP Evolution, beetles, paedomorphosis, bioluminescence, phylogenetics, biodiversity genomics. Opinions are mine.",Olomouc,138,665,1.1852662881421867
5576,Dominik+Weidlich,@WeidlichDominik,Dominik Weidlich,"MR Researcher at the @BMRRgroup (@TU_Muenchen), PhD student, traveler",,37,96,0.2281121863657285
5577,Dominique+A.+Cadilhac,@DominiqueCad,Dominique Cadilhac,"Stroke research, improving access to best-practice care, telestroke, registries, patient self-management, health economics, interdisciplinary care. Views my own",Melbourne,1625,321,7.551205094162014
5578,Dominique+A+Cadilhac,@DominiqueCad,Dominique Cadilhac,"Stroke research, improving access to best-practice care, telestroke, registries, patient self-management, health economics, interdisciplinary care. Views my own",Melbourne,1625,321,6.811691308340076
5579,Dominique+S.+Michaud,@_dominique_m_,Dominique Michaud,En direct (ou presque) de mon pupitre de recherche universitaire = Straight from my university research desk (well almost),"Montréal, Québec",59,120,0.2822367313399066
5580,Dominique+S+Michaud,@_dominique_m_,Dominique Michaud,En direct (ou presque) de mon pupitre de recherche universitaire = Straight from my university research desk (well almost),"Montréal, Québec",59,120,0.3422508307715514
5581,Dominique+Aubert,@domaubr,Dominique Aubert,Professor of Astrophysics at the University of Strasbourg. Crunching the Universe using supercomputers. Head of the Master Astrophysics program @unistra.,"Strasbourg, France",249,294,1.3674348645560457
5582,Dominique+Boeuf,@DominiqueBoeuf,Dominique BOEUF,Biological oceanographer specialized into Microbial Ecology #oceanmicrobes and prokaryotes at C-More @uhmanoa #soest #cmore in the DeLong's lab. #omics #sag,University of Hawai'i ,103,337,0.7139033543905167
5583,Dominique+Bonnet,@Bonnet_Lab,Dominique Bonnet,"Research director CNRS, Medicinal chemistry, Fluorescent Probes, Organic chemistry, Heterocycles, Peptides, GPCR",Illkirch,169,122,0.3750025143830841
5584,Dominique+Charron,@Charron_DC,Dominique Charron,building knowledge+evidence 4 better world. VP Programs IDRC-CRDI. Vet epidemiologist Franco-ontarienne feministe. Views my own.,"Ottawa, Ontario",1174,298,3.8888876949546365
5585,Dominique+Davidson,@DomCDavidson,Dominique Davidson,"Mad scientist, wannabe horror writer.",Melbourne,6,8,0.026208400085641792
5586,Dominique+Job,@JobSeed,Job Dominique,CNRS researcher - Proteomics - seed biology,Lyon (France),25,0,0.11140209470373305
5587,Dominique+Kinnett-Hopkins,@dlkhopkins,Dr. Dominique Kinnett-Hopkins,"Research Assistant Professor, Department of Physical Medicine and Rehabilitation at Northwestern University, Feinberg School of Medicine. She/her","Chicago, IL",24,89,0.141051252358677
5588,Dominique+Langin,@DominiqueLangin,Dominique Langin,"Adipocyte Metabolism Obesity Diabetes. Professor Faculty of Medicine @UT3, Director Institute of Metabolic and Cardiovascular Diseases @Inserm. PI @ERC_SPHERES","Toulouse, France",89,37,0.25779897841426996
5589,Dominique+Michaud,@_dominique_m_,Dominique Michaud,En direct (ou presque) de mon pupitre de recherche universitaire = Straight from my university research desk (well almost),"Montréal, Québec",59,120,0.33798221080338064
5590,Dominique+Robert,@Dom_Robert7,Dominique Robert,"Prof at the Institut des sciences de la mer of @UQAR, @CRC_CRC in Fisheries Ecology, Co-director of @IFQMer, Editor of @ICES_ASC Journal of Marine Science","Rimouski, Québec",373,495,2.1921715470744383
5591,Dominique+Schneider,@dommyschneider,Dominique Schneider,SIU Alum🐾 | MRI Technologist 💀           | Chicago ✈️ Nashville,,272,260,1.0733471436623916
5592,Domtila+Kimani,@dommiekims,Domtila kimani,"Molecular Immunologist & Vaccinologist, and a mum/wife","Kilifi, Kenya",58,102,0.27616927582427203
5593,Don+A.+Cowan,@donkcowan,Don Cowan,Data scientist and software developer in San Francisco focused on Machine Learning and Artificial Intelligence.,"San Francisco, CA",258,132,0.8578174757765966
5594,Don+C.+Rockey,@DRockeyCCU,Don Rockey,"Father of 3, Professor in Recreation and Sport Management at Coastal Carolina University, Ole Miss Rebel Fan & Alum (Hotty Toddy)",,112,112,0.44777776980502326
5595,Don+D.+Sin,@donsin4,Don Sin,I am a respirologist at St. Paul's Hospital and my main research interest is finding innovative new therapeutic solutions to patients with COPD,"Vancouver, British Columbia",788,49,2.271527789562686
5596,Don+D+Sin,@donsin4,Don Sin,I am a respirologist at St. Paul's Hospital and my main research interest is finding innovative new therapeutic solutions to patients with COPD,"Vancouver, British Columbia",788,49,2.151778936400195
5597,Don+R.+Reynolds,@cduclacrosse,Don Reynolds,"Father, Husband & Coach. Head Coach at John Carroll High School Bel Air, MD.","Bel Air North, MD",318,526,1.307265999338326
5598,Don+Thiwanka+Wijeratne,@Dr_DTW,Don Thiwanka Wijeratne,Subspecialist in General Internal Medicine. Assistant Professor  @Queen'sUniversity. Opinion provided is personal. @QueensDOM @FHSQueens,"Kingston, Ontario",215,284,3.186334503187349
5599,Don+Chaney,@JDonChaney,Don Chaney,"The University of Alabama Professor & Chair, Dept of Health Science; #UAPublicHealth; #UAAthleticTraining; Views are my own","Tuscaloosa, AL",355,406,1.2768550172218127
5600,Don+Cowan,@donkcowan,Don Cowan,Data scientist and software developer in San Francisco focused on Machine Learning and Artificial Intelligence.,"San Francisco, CA",258,132,1.7380429126583128
5601,Don+Nutbeam,@NutbeamDon,Don Nutbeam,"Professor of Public Health at the University of Sydney and Senior Advisor at the @SaxInstitute. Former Vice-Chancellor of the University of Southampton, UK.","Sydney, New South Wales",160,8,0.5242442538054327
5602,Don+Weiss,@Don_Horror_Fan,Don Weiss,"Lifelong fan of horror movies, comic books, and pro basketball; proficient karaoke singer, voracious reader, retro gamer, font of insignificant knowledge.",,98,450,0.3651938027686976
5603,Dona+C.+Love,@mycoconnection,Dona Love,Friend of mycology research,"Rockville, MD",371,434,1.4086603761008674
5604,Donal+J.+Brennan,@donalb5,Donal Brennan,"UCD Professor of Gynaecological Oncology, Consultant Gynaecological Oncologist, Mater Hospital Dublin.
Opinions are my own","Dublin, Irlande",2147,477,13.448427447629573
5605,Donal+J+Brennan,@donalb5,Donal Brennan,"UCD Professor of Gynaecological Oncology, Consultant Gynaecological Oncologist, Mater Hospital Dublin.
Opinions are my own","Dublin, Irlande",2147,477,6.472129376451423
5606,Donal+Bisanzio,@donal_bisanzio,Donal BIsanzio,"Epidemiologist studying animal and human diseases. Modeling, network analysis, GIS, and remote sensing... all with opensource software","Nottingham, England",1078,871,2.931852171062299
5607,Donal+Fellows,@donalfellows,Donal Fellows,"Research Software Engineer, responsible for Taverna Server and a fair bit of the Tcl programming language. Now doing tools to support neuromorphic computing.","Manchester, UK",178,117,0.9672082698947055
5608,Donald+C.+Weber,@Donald_Weber,Donald Weber,"Photographer. Faculty at MA Photography & Society Royal Academy of Art The Hague. PhD Candidate Leiden University. Ports, Ships and Sea-routes.",,5563,318,30.887421822322892
5609,Donald+F.+Weaver,@DrDonWeaver,Donald Weaver,"Director, Krembil Research Institute @KrembilRI, UHN; Senior Scientist & Neurologist, Toronto Western Hospital; Professor, University of Toronto","Toronto, Ontario, Canada",1006,251,6.823820248553905
5610,Donald+J.+Davidson,@djdavidsonlab,Donald J. Davidson,Professor of Host Defence & Inflammation Biology @EdinburghUni; Public Engagement Lead at @EdinUni_MeetCIR & @britsocimm; Artist; Father. He/him. Views my own.,,1814,1701,5.536387031907311
5611,Donald+L.+Trump,@doctorskippy,Donald Trump,"GU Medical oncologist, CEO Inova  Schar Cancer Institute- Main research interest=cancer Rx/Pvnt & vitamin D.","Falls Church, Virginia",20924,29,105.56750523369776
5612,Donald+L.+Weaver,@DrDonWeaver,Donald Weaver,"Director, Krembil Research Institute @KrembilRI, UHN; Senior Scientist & Neurologist, Toronto Western Hospital; Professor, University of Toronto","Toronto, Ontario, Canada",1006,251,5.339576611581925
5613,Donald+M.+Thea,@dthea1,Donald Thea,"Professor of Global Health, BU School of Public Health. ID doc. Pneumonia/HIV researcher. (formerly one-third of #FreeAssociations).","Boston, MA",281,314,0.8734519659835306
5614,Donald+M+Thea,@dthea1,Donald Thea,"Professor of Global Health, BU School of Public Health. ID doc. Pneumonia/HIV researcher. (formerly one-third of #FreeAssociations).","Boston, MA",281,314,1.3030041544941917
5615,Donald+P.+French,@UFPCoord,Dr. Donald P. French,I am a Professor &amp; Coordinator of the University Faculty Preparation Program. My goal here is to let you see what professors do,Oklahoma State University,7,4,0.061023901357194314
5616,Donald+R.+Hoover,@DhooverDonald,Donald Hoover,Senior Lecturer at Fairleigh Dickinson University,"Somers Point, NJ",30,74,0.20074103657579226
5617,Donald+R+Hoover,@DhooverDonald,Donald Hoover,Senior Lecturer at Fairleigh Dickinson University,"Somers Point, NJ",30,74,0.1704686659713305
5618,Donald+James,@commack_supt,Dr. Donald A. James,"Proud Superintendent of Commack UFSD, Ed. Strategist, Adj. Prof of Ed. Law & School Business, Developer & Advocate for Balanced, High Performance Schools","Commack, NY",415,42,2.2245051000916085
5619,Donald+Kaye,@donaldkaye,Donald Kaye,Proud Canadian 🇨🇦 | Husband & Father | Golf Professional | #TeamCallaway,Markham - Stouffville ON,130,922,0.6218775436303027
5620,Donald+Smith,@DonaldSmith11,Donald Smith,"Deputy MD @ Inspired Selection, Publishing & Digital Recruiter matching talent with opportunity at senior levels. Always on the lookout for top talent!",Oxford,285,192,0.9468800307208817
5621,Donat+Agosti,@myrmoteras,Donat  Agosti,"Discoverer and liberator of known biodiversity. Scientist. President of Plazi, diplomat spouse and father. Activist.",Bern / Paris,1087,408,5.732694627260265
5622,Donat+Shamba,@dshamba,Donat Shamba,Health Systems Researcher @ifakarahealth. views my own.,"Dar es Salaam, Tanzania",233,1818,1.1390973312960093
5623,Donatella+Valdembri,@DValdembri,Donatella Valdembri,Scientist - All opinions expressed are my own,"Turin, Piémont",49,82,0.21794107095004384
5624,Donatella+Vincenti,@donavinc,Donatella Vincenti,"PhD in Political Theory and Political Science, interpreter-translator","Rome, Italy",116,350,0.6787452098503828
5625,Donatien+Beguy,@Dbeguy,Donatien Beguy,"Population Research Scientist, Data Expert","Nairobi, Kenya",322,135,1.0425147818506812
5626,Donato+Amodio,@AmodioDonato,Donato Amodio,"Dad, husband, son, brother, european, paediatrician, immunologist I like to think",,9,43,0.03598214221647508
5627,Dong+Chul+Kim,@chulkimMD,Chul Kim,Oncologist taking care of people with lung cancer and thymic malignancy at Georgetown University. Father/husband/immigrant. Optimistic about future of oncology.,"Washington, DC",837,373,7.087362626656525
